10943864,FN,COL2A1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673992,FN,OSM,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673992,FN,TNF,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
16087873,FN,ERRFI1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
16087873,FP,NONE,Mig-6,no,NONE,Transgenic,no,NONE,Increased,no,NONE,Mice,no
17326835,FN,LGALS3,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
17326835,FP,NONE,Galectin-3,no,NONE,Chemical,no,NONE,Increased,no,NONE,Mice,no
17968948,FP,NONE,Adamts4,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
19342682,FN,AGER,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
19404941,FP,NONE,BMP-4,no,NONE,Not stated,no,NONE,Decreased,no,NONE,Rats,no
19404941,FP,NONE,sFlt-1,no,NONE,Not stated,no,NONE,Decreased,no,NONE,Rats,no
19747998,TP,TNC,Tnc,yes,Ageing,Surgical,no,Detrimental,Increased,yes,Mouse,Mice,yes
21368873,TP,MIA,MIA,yes,Surgical,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
21590680,TP,IL6,Il6,yes,Surgical,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
21590680,TP,IL6,Il6,yes,Ageing,Chemical,no,Detrimental,Decreased,no,Mouse,Mice,yes
21590680,FP,NONE,Epas1,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
21643724,FN,PHEX,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
21911068,TP,GSK3B,Gsk3b,yes,Ageing,Chemical,no,Detrimental,Increased,yes,Mouse,Rats,no
22057346,FN,C3,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
